χ,lnz_trg,lnz_btrg,lnz_trgerror,lnz_btrgerror
8,0.3427617580163206,0.32817467829842684,0.019695791116320582,0.005108711398426835
16,0.32507616889851726,0.32264716270428845,0.002010201998517258,0.0004188041957115529
24,0.325180606454609,0.3225927891375281,0.002114639554608999,0.00047317776247191023
32,0.32147175370517933,0.32213439332337196,0.0015942131948206706,0.000931573576628042
