Ts,fs_btrg,fs_trg,fs_onsager
2.069185314213022,-2.063084789595422,-2.063084639041714,-2.063084789791405
2.073225718253426,-2.063815992864234,-2.0638158357633882,-2.0638159930726245
2.07726612229383,-2.064554186448066,-2.064554022531376,-2.0645541866750565
2.081306526334234,-2.0652994404628107,-2.0652992694404557,-2.0652994407037983
2.085346930374638,-2.0660518264419356,-2.0660516480502764,-2.066051826729099
2.089387334415042,-2.0668114175486063,-2.0668112314511817,-2.066811417852234
2.0934277384554463,-2.06757828845553,-2.0675780943344533,-2.067578288775575
2.0974681424958503,-2.068352515539884,-2.068352313066934,-2.0683525158780367
2.1015085465362544,-2.069134176937553,-2.069133965761708,-2.069134177295317
2.1055489505766585,-2.0699233526268137,-2.0699231311681663,-2.0699233530062164
2.109589354617062,-2.0707201245208022,-2.0707198936519355,-2.0707201249251868
2.113629758657466,-2.071524576572161,-2.07152433604897,-2.0715245770023674
2.1176701626978702,-2.0723367948718647,-2.0723365443275044,-2.072336795330654
2.1217105667382743,-2.073156867770468,-2.0731566068219958,-2.0731568682619543
2.1257509707786784,-2.0739848860054977,-2.0739846142545164,-2.0739848865327115
2.1297913748190824,-2.0748209428336843,-2.074820659868078,-2.0748209434000615
2.1338317788594865,-2.0756651341794994,-2.0756648395739687,-2.07566513478979
2.1378721828998906,-2.07651755871323,-2.076517252112971,-2.076517559457492
2.1419125869402946,-2.0773783182552408,-2.077377999231218,-2.077378319164539
2.1459529909806987,-2.0782475178274487,-2.078247185872828,-2.078247518870726
2.1499933950211028,-2.0791252658837465,-2.079124920391049,-2.0791252669489007
2.154033799061507,-2.080011674478851,-2.0800113150025967,-2.0800116754049176
2.158074203101911,-2.080906859153502,-2.0809064839637514,-2.080906860155586
2.162114607142315,-2.0818109402104468,-2.081810550329537,-2.0818109412925723
2.166155011182719,-2.082724042247609,-2.0827236371670734,-2.082724043424524
2.170195415223123,-2.083646294716957,-2.0836458739095702,-2.083646296001392
2.174235819263527,-2.0845778322605257,-2.0845773952433033,-2.0845778337315686
2.1782762233039312,-2.0855187952192327,-2.0855183415532568,-2.0855187970223983
2.1823166273443353,-2.086469330491873,-2.0864688594276286,-2.086469332486437
2.1863570313847394,-2.087429591301722,-2.087429102234423,-2.0874295935167306
2.190397435425143,-2.0883997385224835,-2.088399231427688,-2.088399740945021
2.194437839465547,-2.0893799413636014,-2.089379498788319,-2.0893799437995684
2.198478243505951,-2.090370377513557,-2.0903699172796015,-2.090370380183709
2.202518647546355,-2.091371235309923,-2.0913707556286725,-2.0913712383021217
